entry_id	volume	part	number	page	author	title	oreg	odat	id	rdat	claimants	new_matter	see_also_ren	see_also_reg	notes	full_text
5b33e909-678a-530b-b9f5-9ae6bbcee203	14	1	1	772	ALDIS, DOROTHY.	Any spring.	A60435	1933-02-17	R256974	1960-05-13	Dorothy Aldis|A					ALDIS, DOROTHY. Any spring. © 17Feb33; A60435. Dorothy Aldis (A); 13May60; R256974.
60974ef4-ebf2-50e3-94f4-bbde4dd99212	14	1	1	772	ALEXANDER, FRANZ.	The medical value of psychoanalysis.	A47752	1932-02-18	R249416	1960-01-06	Franz Alexander|A					ALEXANDER, FRANZ. The medical value of psychoanalysis. © 18Feb32; A47752. Franz Alexander (A); 6Jan60; R249416.
afc40556-d4b2-595c-ae07-0f1b8bf1d5a3	14	1	1	772	ALEXANDER, HAROLD D., comp.	Dennis hand book for grand jurors, their powers and duties. 11th ed.	AA109962	1932-12-19	R258218	1960-06-08	Matthew Bender & Co., Inc.|PWH					ALEXANDER, HAROLD D., comp. Dennis hand book for grand jurors, their powers and duties. 11th ed. © 19Dec32; AA109962. Matthew Bender & Co., Inc. (PWH); 8Jun60; R258218.
92d7fd5e-5220-5f36-bef5-2c94b4868263	14	1	1	772	ALEXANDER, IRENE.	Villa caprice.	A48293	1932-01-16	R248666	1960-01-04	Irene Alexander|A					ALEXANDER, IRENE. Villa caprice. © 16Jan32; A48293. Irene Alexander (A); 4Jan60; R248666.
32ac3e0f-8494-5cf7-b514-8f867ad35920	14	1	1	772	ALGREN, NELSON.	So help me. (In Story magazine, Aug. 1933)	B194631	1933-07-01	R259744	1960-07-06	Nelson Algren|A					ALGREN, NELSON. So help me. (In Story magazine, Aug. 1933) © 1Jul33; B194631. Nelson Algren (A); 6Jul60; R259744.
65eb873f-f410-508a-b51b-cb3b469ca345	14	1	1	772	ALLEE, MARJORIE HILL.	The road to Carolina. With illustrations by Manning de V. Lee.	A54548	1932-08-24	R250248	1960-01-14	Barbara Allee Angell & Mary Allee Barth|C					ALLEE, MARJORIE HILL. The road to Carolina. With illustrations by Manning de V. Lee. © 24Aug32; A54548. Barbara Allee Angell & Mary Allee Barth (C); 14Jan60; R250248.
175c04d4-5914-58ba-8135-36a43f734b22	14	1	1	772	ALLEN, RICHARD D.	Providence inventory test in music. Test form A, by Richard D. Allen, Walter H. Butterfield & Marguerite Tully.	AA103645	1932-08-08	R259534	1960-07-11	Mary Payton Allen, Alma Davis Butterfield|W||Marguerite Tully|A					ALLEN, RICHARD D. Providence inventory test in music. Test form A, by Richard D. Allen, Walter H. Butterfield & Marguerite Tully. © 8Aug32; AA103645. Mary Payton Allen, Alma Davis Butterfield (W) & Marguerite Tully (A); 11Jul60; R259534.
a81654e7-02ad-5e95-b1cf-2f002ef1ff52	14	1	1	772	ALLISON, IRA S.	The geology and water resources of northwestern Minnesota. (Minnesota Geological Survey bulletin no.22)	A56736	1932-10-12	R253088	1960-03-02	Ira S. Allison|A					ALLISON, IRA S. The geology and water resources of northwestern Minnesota. (Minnesota Geological Survey bulletin no.22) © 12Oct32; A56736. Ira S. Allison (A); 2Mar60; R253088.
1fc91eae-fdc0-59b4-8379-3460f558b022	14	1	1	772	ALLISON, JOHN M. S.	Monsieur Thiers.	A50507	1932-03-26	R252235	1960-02-12	Francis B. Laughlin, Sr., William H. Laughlin & Clotilde L. Van Boekelin|NK					ALLISON, JOHN M. S. Monsieur Thiers. © 26Mar32; A50507. Francis B. Laughlin, Sr., William H. Laughlin & Clotilde L. Van Boekelin (NK); 12Feb60; R252235.
4316c513-629d-53f8-a851-699aa7d8a0a5	14	1	1	772		THE AMERICAN EDUCATOR ENCYCLOPEDIA. Ellsworth D. Foster, editor in chief; James Laughlin Hughes, editor for Canada. 10 v. Appl. author: Karl H. Goodwin.	A48333	1932-01-23	R250666	1960-01-11	United Educators, Inc.|PCW	revisions & additions.				THE AMERICAN EDUCATOR ENCYCLOPEDIA. Ellsworth D. Foster, editor in chief; James Laughlin Hughes, editor for Canada. 10 v. Appl. author: Karl H. Goodwin. NM: revisions & additions. © 23Jan32; A48333. United Educators, Inc. (PCW); 11Jan60; R250666.
