entry_id	volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
464ca0d5-38f3-9f2f-9e2c-53a59114d7d9					James Aldridge.	I wish he would not die.|Some of my best friends are Englishmen.	A354429	1958-09-18	RE277642	1986-01-06	James Aldridge|A	Prev. pub. abroad|1957-10-14|AIO-8147					
9aa04876-d84a-6981-82a3-b662d6abd25d					Elsie K. Morton (Katherine Elizabeth Morton)	Crusoes of Sunday Island.	A356121	1958-09-22	RE309351	1986-11-10	Elsie K. Morton|A	Pub. abroad|1957-07-24|AIO-7984				renewed RE 263-557.	
00e63b32-958f-f763-46e8-e926d2c61502					Reginald H. Phelps & Jack M. Stein.	The German heritage.	A318207	1958-01-01	RE312775	1986-12-16	Reginald Phelps|A||Isabel Stein|W||Judith Stein|C||Jane Elizabeth Stein|C						
48812f0b-f06a-ef54-515c-e29b15b42e16					Walt Disney Productions.	Uncle Remus.  Release Jan. 5, 1958.	A319843	1958-01-01	RE301564	1986-08-18	Walt Disney Company|PWH						
4ae2afb8-4b2e-0803-dde7-85fd3c4d6030					Walt Disney Productions.	Mickey Mouse.  Release Jan. 5, 1958.	A319856	1958-01-01	RE301565	1986-08-18	Walt Disney Company|PWH						
dfe1580d-6837-a1a3-d152-5456fd06906c					Walt Disney Productions.	Donald Duck.  Release Jan. 5, 1958.	A319868	1958-01-01	RE301566	1986-08-18	Walt Disney Company|PWH						
2bbdc9e4-cbaa-f96f-0985-04b37738c45b					E. A. Western, pseud. of Eva Jensen.	Western's Practical industrial electronics.	A336191	1958-01-01	RE317379	1986-12-30	Eva Jensen|A						
3496623a-f09f-7c9e-7b5a-f140115a4389					Janet G. Afflerbach & Miriam M. Bryan, editor: Herbert A. Landry.	Examiner's guide for the New standard vocabulary test.  Forms A-D.	A337353	1958-01-01	RE306064	1986-10-06	Educational Measurement Service|PWH						
17b7bd7c-dbf5-c33e-ab36-3e19a0aea317						All glory to Jesus.  Musical arr. John W. Peterson.	A341665	1958-01-01	RE317468	1986-12-29	John W. Peterson|A						
33bb16d6-6beb-8bd6-464e-3493f4f7ff19						Do you wonder?  w & m John W. Peterson.	A341665	1958-01-01	RE317467	1986-12-29	John W. Peterson|A						
769b571f-2bef-b41f-b7af-5210c8502f11						I love him.  w & m John W. Peterson.	A341665	1958-01-01	RE317469	1986-12-29	John W. Peterson|A						
d3d13bf3-a103-3b50-459e-0a447c5ef0b6						I touched the heart of God (in prayer)  Musical arr. John W. Peterson.	A341665	1958-01-01	RE317470	1986-12-29	John W. Peterson|A						
589e3a71-8ad0-bf57-2974-e350073e6717						Life for a look.  Musical arr. John W. Peterson.	A341665	1958-01-01	RE317465	1986-12-29	John W. Peterson|A						
4ffc1878-39ba-eb8c-7248-82aa9d50f493						Wheresoe'er I roam.  Musical arr. John W. Peterson.	A341665	1958-01-01	RE317466	1986-12-29	John W. Peterson|A						
46d6c8a5-42d7-fcc0-fa47-dba3baead2ac					C. Newton Stokes, Belle W. Adams & Mary B. Bauer.	Arithmetic in my world.  No. 1.	A349419	1958-01-01	RE311528	1986-12-01	C. Newton Stokes|A||Belle W. Adams|A||Mary B. Bauer|A						
2f092c63-52e3-9731-83a4-8064c8dcca25					C. Newton Stokes, Belle W. Adams & Dorothy F. Kendall.	Arithmetic in my world.  No. 2.	A349420	1958-01-01	RE310548	1986-12-01	C. Newton Stokes|A||Belle W. Adams|A||Dorothy F. Kendall|A						
cd0b80b8-06f2-e247-ee4c-f7b432b5c2ff					C. Newton Stokes, Belle W. Adams & Ruth H. Tuttle.	Arithmetic in my world.  No. 3.	A349421	1958-01-01	RE310549	1986-12-01	C. Newton Stokes|A||Belle W. Adams|A||Ruth Tuttle|A						
3252711a-755e-cac7-900e-c18f00587f12					C. Newton Stokes, Belle W. Adams & Mary B. Bauer.	Workbook for Arithmetic in my world.  No. 1.	A349422	1958-01-01	RE311529	1986-12-01	C. Newton Stokes|A||Belle W. Adams|A||Mary B. Bauer|A						
