entry_id	volume	part	number	page	author	title	book	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
56754ca7-2aa9-5b0a-9517-b505bb774d1e	27	1A	1	159	NATIONAL BROADCASTING CO., INC.	Television VE-day, May 8, 1945.		AA490439	1945-07-02	R551722	1973-05-14	National Broadcasting Co., Inc.|PWH						NATIONAL BROADCASTING CO., INC. Television VE-day, May 8, 1945. © 2Jul45; AA490439. National Broadcasting Co., Inc. (PWH); 14May73; R551722.
1fb9f635-4279-5d85-8305-eaa939f39ce7	27	1A	1	159	NATIONAL BROADCASTING CO., INC.	WRC-NBC producer-announcer manual, May, 1945.		AA484979	1945-06-06	R551719	1973-05-14	National Broadcasting Co., Inc.|PWH						NATIONAL BROADCASTING CO., INC. WRC-NBC producer-announcer manual, May, 1945. © 6Jun45; AA484979. National Broadcasting Co., Inc. (PWH); 14May73; R551719.
e9837160-1d0d-54e7-bc4c-cb285621e2b1	27	1A	1	159	NATIONAL BROADCASTING CO., INC.	X.		AA484726	1945-05-22	R551718	1973-05-14	National Broadcasting Co., Inc.|PWH						NATIONAL BROADCASTING CO., INC. X. © 22May45; AA484726. National Broadcasting Co., Inc. (PWH); 14May73; R551718.
f3dbe25b-2f8f-599f-b8e7-57661b7c04e1	27	1A	1	159	NATIONAL CONFERENCE OF SOCIAL WORK.	Proceedings of the National Conference of Social Work; selected papers, seventy-second annual meeting 1945.		A768	1945-12-31	R544813	1973-02-02	National Conference on Social Welfare|PCW						NATIONAL CONFERENCE OF SOCIAL WORK. Proceedings of the National Conference of Social Work; selected papers, seventy-second annual meeting 1945. © 31Dec45; A768. National Conference on Social Welfare (PCW); 2Feb73; R544813.
489ac172-4d09-59df-a9c4-bc4acf657e8f	27	1A	1	160		NATIONAL REPORTER BLUE BOOK. 1945 cumulative supplement.		AA498432	1945-11-02	R546009	1973-02-26	West Pub. Co.|PWH						NATIONAL REPORTER BLUE BOOK. 1945 cumulative supplement. © 2Nov45; AA498432. West Pub. Co. (PWH); 26Feb73; R546009.
efb9fcdf-61e5-5ac1-81d0-970d178d3166	27	1A	1	160	NAVEL, GEORGES.	Travaux. Pref. de Paul Geraldy.		AF1638	1945-12-30	R546232	1973-02-09	Georges Navel|A						NAVEL, GEORGES. Travaux. Pref. de Paul Geraldy. © 30Dec45; AF1638. Georges Navel (A); 9Feb73; R546232.
4c0ba714-2028-5ba3-bcf5-ff76d2a3d9c6	27	1A	1	160	NAVILLE, PIERRE.	Theorie de l'orientation professionnelle.		AF622	1945-10-30	R543539	1972-12-29	Pierre Naville|A						NAVILLE, PIERRE. Theorie de l'orientation professionnelle. © 30Oct45; AF622. Pierre Naville (A); 29Dec72; R543539.
c2132fbe-b89a-5c33-8d57-d36f9beee747	27	1A	1	160		NEBRASKA DIGEST. Vol. 1-12, 1945 cumulative pocket part.		AA99304	1945-11-12	R546017	1973-02-26	West Pub. Co.|PWH						NEBRASKA DIGEST. Vol. 1-12, 1945 cumulative pocket part. © 12Nov45; AA99304. West Pub. Co. (PWH); 26Feb73; R546017.
d0dcafd8-c270-5981-8931-1219f717504a	27	1A	1	160	NELSON, WALDO E., ed.	Textbook of pediatrics. 4th ed. rev.		A191404	1945-11-14	R544502	1973-01-15	Waldo E. Nelson|A						NELSON, WALDO E., ed. Textbook of pediatrics. 4th ed. rev. © 14Nov45; A191404. Waldo E. Nelson (A); 15Jan73; R544502.
786185d2-dba8-592a-ad81-005a3855aa62	27	1A	1	160														NEMOY, LEON. Catalogue of Hebrew and Yiddish manuscripts and books from the library of Sholem Asch presented to Yale University by Louis M. Rabinowitz. © 23Jan46 (in notice: 1945); A367445. Yale University Library (PWH); 14Feb73; R544957.
7f7932f5-1e01-5cd1-909b-a61963ded612	27	1A	1	160	NERMAN, EINAR.	Caricature, by Nerman.		A2973	1946-04-05	R551234	1973-04-23	Viking Press, Inc.|PWH						NERMAN, EINAR. Caricature, by Nerman. © 5Apr46; A2973. Viking Press, Inc. (PWH); 23Apr73; R551234.
fe55c329-7e5d-5c1c-abed-3e206d8a1835	27	1A	1	160	NEUMANN, ROBERT.	The inquest.		A188153	1945-06-11	R545617	1973-02-08	Robert Neumann|A						NEUMANN, ROBERT. The inquest. © 11Jun45; A188153. Robert Neumann (A); 8Feb73; R545617.
7fd32066-8c28-5d98-b1bb-9d0fe4cb320d	27	1A	1	160	Luther A. Weigle, William P. Armstrong & others.	THE NEW COVENANT COMMONLY CALLED THE NEW TESTAMENT OF OUR LORD AND SAVIOR JESUS CHRIST; revised standard version.		A1673	1946-02-11	R547703	1973-03-09	Division of Christian Education, National Council of the Churches of Christ in the United States of America|PCW		additions & revisions.				THE NEW COVENANT COMMONLY CALLED THE NEW TESTAMENT OF OUR LORD AND SAVIOR JESUS CHRIST; revised standard version. By Luther A. Weigle, William P. Armstrong & others. NM: additions & revisions. © 11Feb46; A1673. Division of Christian Education, National Council of the Churches of Christ in the United States of America (PCW); 9Mar73; R547703.
